sites	X9	X12	Mont	Name_fish	Data	Year_sampling	X0	X1	X2	X3	X4	X5	X6	X7	X8	X9.1	X10	X11	X12.1	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33
P0766	122	1221	1221a	P0766	Fish_Cerrado_MS3	2016	79.31890226	79.1602618	79.62346198	80.21134543	80.47562763	80.73600098	80.81880096	81.0917035	80.50046634	81.44896788	81.64620751	81.61294566	81.57643007	81.55643472	81.60300089	81.5531808	81.48355037	81.38191448	81.59133774	81.6065562	81.97441097	82.18523055	82.47106701	82.28641027	82.20796747	82.34022019	82.23050016	82.25139207	82.78605079	82.8376271	82.91753067	83.10687903	NA	NA
P0780	50	501	501b	P0780	Fish_Cerrado_MS3	2016	87.47747629	87.47596679	87.54133304	87.53884892	87.59757499	87.628422	87.56665316	87.61607399	87.64366435	87.56259876	87.48824721	87.5699274	87.65476409	87.65601434	87.81198869	87.49678578	87.42786095	87.36746794	87.47606862	87.93466206	88.07372732	88.23260095	88.25591289	88.07907017	87.84396321	87.75135768	87.73102909	87.97962037	88.04625033	88.0365899	88.21788894	88.18572475	NA	NA
P0783	39	392	392b	P0783	Fish_Cerrado_MS3	2016	93.93028854	94.02435749	94.22673353	94.53201362	94.71392609	95.01072601	95.10517207	95.15629782	95.1753962	95.2075948	95.21909409	95.21443925	95.25815135	95.47830197	95.4844712	95.44047851	95.47611184	95.57262564	95.50512392	95.50456681	95.66661648	95.6462691	95.62977655	95.74886468	95.85429464	95.89961753	95.94970643	95.89897786	95.92304679	95.8355416	95.64615651	95.53578015	NA	NA
P0784	45	451	451a	P0784	Fish_Cerrado_MS3	2016	81.36383493	81.33524852	81.46003694	81.71190848	81.82812574	81.87358058	81.78666262	81.88285377	82.08994276	82.14041432	82.15634385	82.3676346	82.50895162	82.61601568	82.65974146	82.56044698	82.84986717	83.05344876	82.84373816	82.66231346	83.00852564	82.83042772	82.64267588	82.51198472	81.96686662	82.09602702	82.54358675	82.46101788	82.73315854	83.01986148	82.86374244	82.72550103	NA	NA
P0786	26	262	262a	P0786	Fish_Cerrado_MS3	2016	79.71042023	79.6921222	79.86193156	79.80379215	79.99587282	80.30433849	80.51592721	80.51696204	80.57520598	80.59565216	80.60032931	80.69219647	80.65997549	80.61755334	80.4772219	80.44022549	80.51469315	80.38074426	80.260329	80.10839897	80.06024286	79.83095705	79.69493725	79.6657704	79.50977594	79.31726738	79.25615083	78.88767629	78.4440498	77.87498858	77.32563016	77.3932674	NA	NA
P0787	28	281	281b	P0787	Fish_Cerrado_MS3	2016	81.24484571	81.25170652	81.34333852	81.53489899	81.68536015	81.97710463	82.10184437	82.09506253	82.08688235	82.12848242	82.12269985	82.19028122	82.22639243	82.18598045	82.01798549	81.92399446	81.88067761	82.02982754	82.11355506	82.12474458	82.129753	81.96809181	81.84069479	81.93845788	81.90645293	81.78544257	81.71972553	81.32115513	81.08356111	80.44821932	79.88484393	79.89313591	NA	NA
P0793	26	261	261a	P0793	Fish_Cerrado_MS3	2016	79.71042023	79.6921222	79.86193156	79.80379215	79.99587282	80.30433849	80.51592721	80.51696204	80.57520598	80.59565216	80.60032931	80.69219647	80.65997549	80.61755334	80.4772219	80.44022549	80.51469315	80.38074426	80.260329	80.10839897	80.06024286	79.83095705	79.69493725	79.6657704	79.50977594	79.31726738	79.25615083	78.88767629	78.4440498	77.87498858	77.32563016	77.3932674	NA	NA
P0798	30	302	302a	P0798	Fish_Cerrado_MS3	2016	92.49979746	92.4772375	92.70374555	92.77695823	92.87945168	93.05957373	93.46570497	93.46210425	93.54330474	93.59345017	93.6245696	93.78565764	93.84375613	93.80351539	93.68041312	93.51404133	93.5052586	93.52280774	93.57174391	93.56280752	93.56866208	93.57838276	93.58698758	93.66050597	93.5578871	93.36812049	92.76979729	91.68841637	90.99626212	89.90483339	89.60875869	89.65211403	NA	NA
P0799	30	302	302b	P0799	Fish_Cerrado_MS3	2016	92.49979746	92.4772375	92.70374555	92.77695823	92.87945168	93.05957373	93.46570497	93.46210425	93.54330474	93.59345017	93.6245696	93.78565764	93.84375613	93.80351539	93.68041312	93.51404133	93.5052586	93.52280774	93.57174391	93.56280752	93.56866208	93.57838276	93.58698758	93.66050597	93.5578871	93.36812049	92.76979729	91.68841637	90.99626212	89.90483339	89.60875869	89.65211403	NA	NA
P0802	29	291	291a	P0802	Fish_Cerrado_MS3	2016	88.53951465	88.77181997	89.27168641	89.90730304	90.77853886	91.08094389	91.32898831	91.19640444	91.18978042	91.33308509	91.26912404	91.30899348	91.45907189	91.57093326	91.61083748	91.64194461	91.49448495	91.66000433	91.50830131	91.16121741	90.88034961	90.19775065	89.45162398	88.91898659	87.47230416	85.92669589	84.84602142	81.99947966	77.81033133	71.4489455	66.07777787	66.29045533	NA	NA
P0804	54	542	542a	P0804	Fish_Cerrado_MS3	2016	83.80209928	83.21734084	82.83060684	82.76445092	83.1551578	83.65716792	83.71090867	83.94818856	83.65877176	83.97259992	84.52119553	84.42307385	84.88098448	85.04534311	85.46817951	85.57778428	85.66176723	85.57333522	85.99340124	86.17821719	86.4303455	86.81284285	86.84583293	87.09186576	87.22577373	87.22026626	87.17682754	87.17688614	87.46644307	87.59518658	87.68017766	87.84227445	NA	NA
P0805	53	532	532a	P0805	Fish_Cerrado_MS3	2016	86.03823019	86.00430381	86.06473249	86.77291756	87.21023569	87.53073605	87.50651615	87.59079303	87.52110532	87.79472346	88.18000221	88.13655499	88.3298541	88.44001698	88.45127529	88.36023985	88.39672227	88.26947341	88.43738106	88.6408141	88.82530808	89.00256226	88.985891	88.98255827	88.92771473	88.83207285	88.51722094	88.43634535	88.49907749	88.47120684	88.66480326	88.92452935	NA	NA
P0807	50	501	501c	P0807	Fish_Cerrado_MS3	2016	87.47747629	87.47596679	87.54133304	87.53884892	87.59757499	87.628422	87.56665316	87.61607399	87.64366435	87.56259876	87.48824721	87.5699274	87.65476409	87.65601434	87.81198869	87.49678578	87.42786095	87.36746794	87.47606862	87.93466206	88.07372732	88.23260095	88.25591289	88.07907017	87.84396321	87.75135768	87.73102909	87.97962037	88.04625033	88.0365899	88.21788894	88.18572475	NA	NA
P0810	39	393	393a	P0810	Fish_Cerrado_MS3	2016	93.93028854	94.02435749	94.22673353	94.53201362	94.71392609	95.01072601	95.10517207	95.15629782	95.1753962	95.2075948	95.21909409	95.21443925	95.25815135	95.47830197	95.4844712	95.44047851	95.47611184	95.57262564	95.50512392	95.50456681	95.66661648	95.6462691	95.62977655	95.74886468	95.85429464	95.89961753	95.94970643	95.89897786	95.92304679	95.8355416	95.64615651	95.53578015	NA	NA
P0811	54	541	541a	P0811	Fish_Cerrado_MS3	2016	83.80209928	83.21734084	82.83060684	82.76445092	83.1551578	83.65716792	83.71090867	83.94818856	83.65877176	83.97259992	84.52119553	84.42307385	84.88098448	85.04534311	85.46817951	85.57778428	85.66176723	85.57333522	85.99340124	86.17821719	86.4303455	86.81284285	86.84583293	87.09186576	87.22577373	87.22026626	88.51722094	87.17688614	87.46644307	87.59518658	87.68017766	87.84227445	NA	NA
P0812	39	392	392a	P0812	Fish_Cerrado_MS3	2016	93.93028854	94.02435749	94.22673353	94.53201362	94.71392609	95.01072601	95.10517207	95.15629782	95.1753962	95.2075948	95.21909409	95.21443925	95.25815135	95.47830197	95.4844712	95.44047851	95.47611184	95.57262564	95.50512392	95.50456681	95.66661648	95.6462691	95.62977655	95.74886468	95.85429464	95.89961753	95.94970643	95.89897786	95.92304679	95.8355416	95.64615651	95.53578015	NA	NA
