"","ID_Point","Latitude","Longitude","Name","Description","Rich","sub9","Name_fish","Year_sampling","LUyear0.sub9","LUyear0.mont","Duration_70","Duration_50","Duration_30","NanosLU"
"P0380","P0380",-14.3939,-48.8105,"Ni7","fish_Cerrado_GO",5,95,"P0380",2013,47.5438324,53.92180599,0,0,2,28
"P0381","P0381",-14.4211,-48.7353,"Ni8","fish_Cerrado_GO",13,95,"P0381",2013,47.5438324,7.226782553,0,0,2,28
"P0382","P0382",-14.3899,-48.3583,"Ni9","fish_Cerrado_GO",10,96,"P0382",2013,31.25779682,24.09893993,0,0,1,28
"P0383","P0383",-14.4501,-48.3702,"Ni10","fish_Cerrado_GO",3,96,"P0383",2013,31.25779682,27.17183314,0,0,1,28
"P0384","P0384",-14.4303,-48.3807,"Ni12","fish_Cerrado_GO",6,96,"P0384",2013,31.25779682,37.84461153,0,0,1,28
"P0391","P0391",-19.306411,-47.542821,"NP0008","Fish_Cerrado_MG",5,81,"P0391",2011,86.92112078,89.54459414,26,26,26,26
"P0392","P0392",-19.35887,-47.216649,"NP0012","Fish_Cerrado_MG",11,82,"P0392",2011,72.83035124,45.23250352,26,26,26,26
"P0394","P0394",-19.23303,-47.215573,"NP0028","Fish_Cerrado_MG",2,82,"P0394",2011,72.83035124,75.62583075,26,26,26,26
"P0398","P0398",-19.017444,-46.873111,"NP0055","Fish_Cerrado_MG",12,83,"P0398",2011,74.16030329,91.54312131,26,26,26,26
"P0405","P0405",-19.306116,-47.121536,"NP0108","Fish_Cerrado_MG",10,82,"P0405",2011,72.83035124,80.00497389,26,26,26,26
"P0407","P0407",-18.881865,-47.124201,"NP0112","Fish_Cerrado_MG",2,84,"P0407",2011,84.44412314,82.31368187,26,26,26,26
"P0410","P0410",-18.934025,-47.062978,"NP0139","Fish_Cerrado_MG",7,84,"P0410",2011,84.44412314,82.54668191,26,26,26,26
"P0413","P0413",-19.266275,-47.513836,"NP0192","Fish_Cerrado_MG",3,81,"P0413",2011,86.92112078,90.17275266,26,26,26,26
"P0414","P0414",-19.123306,-46.825194,"NP0203","Fish_Cerrado_MG",12,83,"P0414",2011,74.16030329,54.04209965,26,26,26,26
"P0419","P0419",-18.932137,-47.116739,"NP0368","Fish_Cerrado_MG",8,84,"P0419",2011,84.44412314,92.13585594,26,26,26,26
