pto;ID_Name;Latitude;Longitude
P1186;Fish_MAtlantica_SP;-20.822333;-49.563056
P1187;Fish_MAtlantica_SP;-20.779167;-49.581167
P1188;Fish_MAtlantica_SP;-20.714722;-49.71
P1190;Fish_MAtlantica_SP;-20.717361;-49.811528
P1191;Fish_MAtlantica_SP;-20.687917;-49.884917
P1192;Fish_MAtlantica_SP;-20.625444;-49.892611
P1193;Fish_MAtlantica_SP;-20.612889;-49.96825
P1194;Fish_MAtlantica_SP;-20.542056;-49.935306
P1199;Fish_MAtlantica_SP;-20.475722;-49.886972
P1200;Fish_MAtlantica_SP;-20.458917;-50.242583
P1201;Fish_MAtlantica_SP;-20.444222;-50.263278
P1203;Fish_MAtlantica_SP;-20.314361;-50.384667
P1204;Fish_MAtlantica_SP;-20.376389;-50.450917
P1206;Fish_MAtlantica_SP;-20.528222;-50.320833
P1210;Fish_MAtlantica_SP;-20.597083;-50.758111
P1211;Fish_MAtlantica_SP;-20.524667;-51.049
P1218;Fish_MAtlantica_SP;-20.431583;-50.813972
P1219;Fish_MAtlantica_SP;-20.518917;-50.926972
P1221;Fish_MAtlantica_SP;-20.288806;-49.925417
P1222;Fish_MAtlantica_SP;-20.204444;-49.96025
P1228;Fish_MAtlantica_SP;-19.97275;-50.447278
P1230;Fish_MAtlantica_SP;-20.155;-50.437556
P1233;Fish_MAtlantica_SP;-20.142444;-50.379861
P1242;Fish_MAtlantica_SP;-20.103306;-49.923278
P1243;Fish_MAtlantica_SP;-20.190917;-49.86775
P1244;Fish_MAtlantica_SP;-20.109972;-49.823472
P1249;Fish_MAtlantica_SP;-20.195806;-49.416111
P1251;Fish_MAtlantica_SP;-20.151861;-49.556694
P1252;Fish_MAtlantica_SP;-20.207194;-49.546917
P1256;Fish_MAtlantica_SP;-20.286861;-49.531667
P1257;Fish_MAtlantica_SP;-20.325389;-49.399944
P1258;Fish_MAtlantica_SP;-20.384667;-49.400444
P1261;Fish_MAtlantica_SP;-20.702028;-49.406083
P1262;Fish_MAtlantica_SP;-20.584917;-49.450139
P1263;Fish_MAtlantica_SP;-20.689944;-49.451139
P1264;Fish_MAtlantica_SP;-20.720167;-49.223333
P1265;Fish_MAtlantica_SP;-20.694639;-49.08175
P1271;Fish_MAtlantica_SP;-20.852556;-49.2345
P1276;Fish_MAtlantica_SP;-21.051944;-48.800278
P1289;Fish_MAtlantica_SP2;-22.134517;-47.728228
P1292;Fish_MAtlantica_SP2;-22.113722;-47.702513
P1294;Fish_MAtlantica_SP2;-22.155779;-47.632514
P1295;Fish_MAtlantica_SP2;-22.138027;-47.705545
P1297;Fish_MAtlantica_SP2;-22.152586;-47.604796
P1298;Fish_MAtlantica_SP2;-22.148003;-47.614238
P1299;Fish_MAtlantica_SP2;-22.164807;-47.705786
P1303;Fish_MAtlantica_SP2;-22.264122;-47.68139
P1304;Fish_MAtlantica_SP2;-22.251638;-47.662106
P1307;Fish_MAtlantica_SP2;-22.305968;-47.67503
P1311;Fish_MAtlantica_SP2;-22.340545;-47.803463
P1312;Fish_MAtlantica_SP2;-22.342315;-47.799249
P1313;Fish_MAtlantica_SP2;-22.36334;-47.891996
P1314;Fish_MAtlantica_SP2;-22.362523;-47.891213
P1317;Fish_MAtlantica_SP2;-22.285449;-47.831412
P1319;Fish_MAtlantica_SP2;-22.360013;-47.835683
P1320;Fish_MAtlantica_SP2;-22.399225;-47.84736
P1321;Fish_MAtlantica_SP2;-22.4003;-47.841179
P1322;Fish_MAtlantica_SP2;-22.410102;-47.883985
P1323;Fish_MAtlantica_SP2;-22.401036;-47.866956
P1324;Fish_MAtlantica_SP2;-22.516729;-47.75498
P1325;Fish_MAtlantica_SP2;-22.402167;-47.810843
P1326;Fish_MAtlantica_SP2;-22.420712;-47.79078
P1343;Fish_MAtlantica_SP2;-22.191033;-47.608316
P1346;Fish_MAtlantica_SP2;-22.286253;-47.621963
P1348;Fish_MAtlantica_SP2;-22.195299;-47.575716
P1349;Fish_MAtlantica_SP2;-22.195219;-47.59549
P1350;Fish_MAtlantica_SP2;-22.214797;-47.608697
P1352;Fish_MAtlantica_SP2;-22.182587;-47.581988
P3224;Fish_Amazonia_MT;-9.900258;-59.191291
P3225;Fish_Amazonia_MT;-9.913694;-59.118771
P3237;Fish_Amazonia_MT;-11.449072;-59.072198
P3238;Fish_Amazonia_MT;-11.458547;-59.053786
P3239;Fish_Amazonia_MT;-11.460389;-59.037241
P3240;Fish_Amazonia_MT;-11.463599;-59.031922
P3241;Fish_Amazonia_MT;-11.508836;-59.083063
P3242;Fish_Amazonia_MT;-11.447033;-59.146873
P3245;Fish_Amazonia_MT;-11.467404;-59.124734
P3246;Fish_Amazonia_MT;-11.530351;-58.825896
P3247;Fish_Amazonia_MT;-11.512006;-58.847949
P3248;Fish_Amazonia_MT;-11.487667;-58.809802
P3249;Fish_Amazonia_MT;-11.535163;-58.717219
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
P0304;Fish_CamposSulinos_RS;-30.102347;-54.307873
P0305;Fish_CamposSulinos_RS;-30.092249;-54.305257
P0306;Fish_CamposSulinos_RS;-30.125123;-54.326217
P0310;Fish_CamposSulinos_RS;-30.995075;-55.403403
P0311;Fish_CamposSulinos_RS;-31.001799;-55.326052
P0313;Fish_CamposSulinos_RS;-30.846739;-55.409159
P0317;Fish_CamposSulinos_RS;-29.293941;-54.034254
P0318;Fish_CamposSulinos_RS;-29.317881;-54.122079
P0320;Fish_CamposSulinos_RS;-29.345179;-54.389707
P0321;Fish_CamposSulinos_RS;-31.297286;-52.809736
P0322;Fish_CamposSulinos_RS;-30.972135;-52.762276
P0323;Fish_CamposSulinos_RS;-31.152153;-52.803984
P0324;Fish_CamposSulinos_RS;-31.288816;-53.095001
P0326;Fish_CamposSulinos_RS;-32.32692;-53.25821
P0327;Fish_CamposSulinos_RS;-30.432216;-56.312233
P0328;Fish_CamposSulinos_RS;-30.423272;-56.266185
P0329;Fish_CamposSulinos_RS;-29.958534;-56.784917
P0330;Fish_CamposSulinos_RS;-31.299124;-53.935986
P0331;Fish_CamposSulinos_RS;-31.390222;-53.848249
P0332;Fish_CamposSulinos_RS;-31.250968;-54.352204
P0335;Fish_Cerrado_GO;-13.982833;-49.071278
P0336;Fish_Cerrado_GO;-13.96975;-48.984333
P0337;Fish_Cerrado_GO;-13.905917;-48.979139
P0338;Fish_Cerrado_GO;-13.908083;-48.929139
P0340;Fish_Cerrado_GO;-13.745222;-48.863306
P0341;Fish_Cerrado_GO;-13.860083;-48.917389
P0346;Fish_Cerrado_GO;-13.647778;-48.791389
P0347;Fish_Cerrado_GO;-13.617583;-48.761306
P0348;Fish_Cerrado_GO;-13.604639;-48.737722
P0360;Fish_Cerrado_GO;-13.251167;-48.673861
P0364;Fish_Cerrado_GO;-15.0498;-48.9554
P0365;Fish_Cerrado_GO;-15.0184;-48.9556
P0366;Fish_Cerrado_GO;-15.0045;-48.9517
P0367;Fish_Cerrado_GO;-14.9932;-48.939
P0368;Fish_Cerrado_GO;-15.0976;-49.0403
P0369;Fish_Cerrado_GO;-15.1117;-49.027
P0370;Fish_Cerrado_GO;-14.9357;-48.9232
P0372;Fish_Cerrado_GO;-14.8839;-48.8828
P0374;Fish_Cerrado_GO;-14.1837;-48.351
P0375;Fish_Cerrado_GO;-14.2116;-48.3281
P0376;Fish_Cerrado_GO;-14.2571;-48.3307
P0378;Fish_Cerrado_GO;-14.2691;-48.7271
P0385;Fish_Cerrado_GO;-14.1072;-48.3603
P0393;Fish_Cerrado_MG;-19.212139;-46.9922
P0395;Fish_Cerrado_MG;-19.465058;-46.890797
P0396;Fish_Cerrado_MG;-19.401197;-47.646861
P0399;Fish_Cerrado_MG;-19.127917;-47.043083
P0400;Fish_Cerrado_MG;-19.310018;-47.254823
P0401;Fish_Cerrado_MG;-19.266833;-46.820031
P0402;Fish_Cerrado_MG;-19.109514;-47.084284
P0403;Fish_Cerrado_MG;-18.969154;-47.279494
P0404;Fish_Cerrado_MG;-19.206478;-47.037183
P0406;Fish_Cerrado_MG;-19.641745;-47.472555
P0408;Fish_Cerrado_MG;-19.020223;-47.365551
P0409;Fish_Cerrado_MG;-19.228772;-46.98775
P0411;Fish_Cerrado_MG;-19.036043;-47.257622
P0412;Fish_Cerrado_MG;-19.395978;-46.831897
P0415;Fish_Cerrado_MG;-19.361874;-47.671514
P0416;Fish_Cerrado_MG;-19.246983;-47.413418
P0417;Fish_Cerrado_MG;-19.453752;-46.839487
P0420;Fish_Cerrado_MG;-19.062219;-47.774998
P0421;Fish_Cerrado_MG;-19.410894;-46.872461
P0422;Fish_Cerrado_MG;-19.41226;-47.061601
P0423;Fish_Cerrado_MG;-19.298374;-47.253484
P0426;Fish_Cerrado_MG;-19.535692;-46.99066
