ID_Point,ID_File,ID_Name,Group,Biome,Latitude,Longitude,Name,Description,Icon,X.Deforestation,Altitude,Bio1,Bio2,Bio3,Bio4,Bio5,Bio6,Bio7,Bio8,Bio9,Bio10,Bio11,Bio12,Bio13,Bio14,Bio15,Bio16,Bio17,Bio18,Bio19,Density,Hand50,Hand100,Hand500,SA2001Tree,Slope,UTMZone,ClasseSolo,PercMA50m,PercMA100m,PercMA200m,PercMA500m,listabiomas
P0033,Ephe_MAtlantica_ES.xlsxP33,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.68597222,-40.477,corrego33,Ephe_MAtlantica_ES,160,NA,119.61,245.28,97.71,63.71,1684.49,321.66,168.96,152.7,258.99,222.99,267.67,222.99,1157.79,195.03,31,57.02,542.07,119,359.76,119,21.99,2.34,27.12,92.98,21.96,7.39,24,Latossolos Vermelho-Amarelos Distroficos,0,0.04,0.03,0.01,ATLANTIC FOREST
P0034,Ephe_MAtlantica_ES.xlsxP34,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.05069444,-40.87441667,corrego34,Ephe_MAtlantica_ES,160,NA,306.06,237.21,111,67.26,1553.37,317.21,153.43,163.78,250.16,217.88,257.16,216.47,1160.7,196.76,25.02,65,574.27,86.77,403.57,95.77,27.43,113.56,66.71,153.25,22.49,14.76,24,Latossolos Vermelho-Amarelos Distroficos,0,0.08,0.04,0.13,ATLANTIC FOREST
P0035,Ephe_MAtlantica_ES.xlsxP35,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.02683333,-40.2275,corrego35,Ephe_MAtlantica_ES,160,NA,112.3,238.89,98,66,1547.22,312.09,164.91,147.18,250.71,217.91,258.89,217.91,1183.46,182.18,35.91,52,524.36,132.82,369.36,132.82,20.59,21.4,40.93,44.46,10.73,3.19,24,Argissolos Amarelos Distrocoesos,1,1,0.95,0.75,ATLANTIC FOREST
P0036,Ephe_MAtlantica_ES.xlsxP36,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.75580556,-40.92933333,corrego36,Ephe_MAtlantica_ES,160,NA,229.38,241.03,112.21,65.21,1717.25,323.93,153.03,170.9,255.6,218.24,262.13,218.14,1178.7,206.63,25.42,64.58,583.07,90.94,401.16,95.1,15.04,61.26,71.83,95.62,26.1,19.15,24,Latossolos Vermelho-Amarelos Distroficos,0.6,0.49,0.36,0.34,ATLANTIC FOREST
P0037,Ephe_MAtlantica_ES.xlsxP37,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.45183333,-40.81511111,corrego37,Ephe_MAtlantica_ES,160,NA,437.4,231.74,110.2,66,1618.7,311.94,146.74,165.2,245.74,211.62,252.26,210.74,1208.18,206.72,26.24,63.89,593.63,95.62,414.26,105.82,19.61,288.54,121.49,360.49,9.88,11.68,24,Latossolos Vermelho-Amarelos Distroficos,0,0,0.05,0.06,ATLANTIC FOREST
P0038,Ephe_MAtlantica_ES.xlsxP38,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.937,-40.47891667,corrego38,Ephe_MAtlantica_ES,160,NA,270.59,228.15,94.84,63,1662.73,302.83,153.42,149.41,242.15,206.83,250,206.83,1214.92,199.1,38.73,52.27,546.94,141.55,365.76,142.45,23.02,154.97,173.63,269.71,49.54,16.79,24,Latossolos Vermelho-Amarelos Distroficos,0.71,0.63,0.67,0.74,ATLANTIC FOREST
P0039,Ephe_MAtlantica_ES.xlsxP39,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.69894444,-41.63538889,corrego39,Ephe_MAtlantica_ES,160,NA,704.89,199.45,124.96,64.99,1930.32,290.41,98.47,191.93,216.44,175.58,220.58,172.45,1281.77,221.8,23,64.17,625.15,84.76,474.11,105.76,20.7,86.4,67.29,92.76,14.18,15.64,24,Cambissolos Haplicos Tb Distroficos,0.99,0.71,0.39,0.24,ATLANTIC FOREST
P0040,Ephe_MAtlantica_ES.xlsxP40,Ephe_MAtlantica_ES,Ephe,MAtlantica,-21.11488889,-41.69191667,corrego40,Ephe_MAtlantica_ES,160,NA,265.91,231.9,111.4,62.82,2000.99,318.48,141.86,176.62,249.26,205.3,256.12,205.26,1125.94,218.76,19.36,66.82,546.62,66.12,404.03,87.12,30.56,103.11,119.76,155.52,14.89,12.05,24,Latossolos Vermelho-Amarelos Distroficos,0.1,0.1,0.08,0.13,ATLANTIC FOREST
P0041,Ephe_MAtlantica_ES.xlsxP41,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.41152778,-40.94283333,corrego41,Ephe_MAtlantica_ES,160,NA,1029,186.2,106.96,63.96,1725.92,267.16,100.22,166.93,200.22,165.57,206.22,162.22,1348.13,212.49,37.39,53,606.85,135.9,444.99,152.9,9.98,143.11,179.51,453.56,66.84,13.82,24,Latossolos Vermelho-Amarelos Distroficos,0.43,0.6,0.62,0.55,ATLANTIC FOREST
P0042,Ephe_MAtlantica_ES.xlsxP42,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.31672222,-40.65683333,corrego42,Ephe_MAtlantica_ES,160,NA,670.99,218.57,96.01,62,1687.2,294.97,141.57,153.4,232.58,197.57,239.57,196.57,1230.69,198.01,40.39,50,545.06,141.79,370.46,156.79,19.94,155.24,120.17,155.54,26.77,15.71,24,Cambissolos Haplicos Tb Distroficos,0,0.43,0.74,0.66,ATLANTIC FOREST
P0043,Ephe_MAtlantica_ES.xlsxP43,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.9215,-40.74397222,corrego43,Ephe_MAtlantica_ES,160,NA,652.15,218.36,105,64,1691.03,297.36,135.36,162,232.42,196.79,239.42,196.36,1251.74,207.41,33.93,56.47,583.55,123.8,405.49,134.87,15.26,371.82,429.53,486.41,27.91,14.86,24,Latossolos Vermelho-Amarelos Distroficos,0.04,0.15,0.11,0.17,ATLANTIC FOREST
P0044,Ephe_MAtlantica_ES.xlsxP44,Ephe_MAtlantica_ES,Ephe,MAtlantica,-20.12680556,-40.551,corrego44,Ephe_MAtlantica_ES,160,NA,254.74,232.24,93.29,62.93,1696.08,306.68,159.13,147.55,246.24,210.51,254.24,210.51,1190.71,196.5,40.2,50.82,531.66,141.79,349.95,144,25.91,155.18,132.09,155.18,35.73,43.07,24,Cambissolos Haplicos Tb Distroficos,1,1,0.92,0.67,ATLANTIC FOREST
P0045,Ephe_MAtlantica_ES.xlsxP45,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.88022222,-40.61072222,corrego45,Ephe_MAtlantica_ES,160,NA,655.78,221.46,100.92,64,1680.24,298.43,142.15,156.28,235.46,200.07,243.03,200.07,1243.9,204.77,35.85,54.72,572.37,131.44,392.51,138.82,12.82,389.44,378.99,490.04,32.55,16.14,24,Latossolos Vermelho-Amarelos Distroficos,0,0.13,0.1,0.11,ATLANTIC FOREST
P0046,Ephe_MAtlantica_ES.xlsxP46,Ephe_MAtlantica_ES,Ephe,MAtlantica,-19.71119444,-40.66175,corrego46,Ephe_MAtlantica_ES,160,NA,204.59,243.04,103.74,64.74,1682.87,321.37,162.37,159,256.91,220.5,264.37,220.5,1168.57,200.67,29,60.26,560.24,107.35,376.98,107.35,26.43,11.89,33.46,11.89,30.83,4.9,24,Latossolos Vermelho-Amarelos Distroficos,0,0,0,0.02,ATLANTIC FOREST
P0047,Ephe_MAtlantica_ES.xlsxP47,Ephe_MAtlantica_ES,Ephe,MAtlantica,-18.45258333,-39.79941667,corrego47,Ephe_MAtlantica_ES,160,NA,36.31,240.49,83.72,62.72,1534.52,306.69,173.69,133,252.21,219.41,259.98,219.41,1310.03,179.08,61.79,36.21,493.59,206.79,352.39,206.79,22.61,16.63,7.14,32.29,60.99,3.32,24,Argissolos Amarelos Distrocoesos,0.99,0.78,0.68,0.37,ATLANTIC FOREST
