ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,A_abramis,A_affinis,A_albifrons,A_anisiti,A_dentatus,A_aff_fasciatus,A_lineatus,A_marionae,Ancistrus_sp,A_pantaneiro,A_plagiozonatus,Astyanax_sp1,Astyanax_sp2,Astyanax_sp3,A_asuncionensis,Brachyhypopomus_spB,Brachyhypopomus_spC,B_exodon,B_hilarii,B_retrospina,B_stramineus,C_aeneus,C_areio,C_borellii,C_callichthyes,C_dimerus,C_gomesi,C_lepidota,C_meridionalis,C_vittata,Corydoras_spn,Characidium_sp,Characidium_sp1,Crenicichla_sp,C_aff_zebra,E_trilineata,F_cf_isbrueckeri,F_paraguayensis,G_britskii,G_inaquilabiatus,G_ternetzi,Gymnotus_sp,H_basilisko,H_boulengeri,H_cochliodon,H_eques,Hoplias_sp1,H_khimeara,H_littorale,H_aff_latirostris,H_luetkenii,H_piratatu,Hypostumus_sp,I_mirini,I_schubarti,I_stictonatus,Imparfinis_sp,Imparfinis_sp1,J_acanthogaster,L_cf_coximensis,L_frederici,L_lacustris,L_lucie,L_obtusidens,L_striatus,M_bonita,M_foresti,M_intermedia,M_oligolepis,M_sanctafilomenae,O_pintoi,O_pequira,O_paraguayensis,P_analis,P_australis,P_corruscans,P_gobioides,P_gracilis,P_hoehnei,P_kennydie,P_lineatus,P_oxyptera,P_mangurus,P_melanostoma,P_menezesi,P_nasus,P_paraguayensis,P_reticulata,P_taenioptera,P_tegatus,P_torenticula,R_lanceolata,R_parva,R_quelen,S_brasiliensis,S_brevipinna,S_calliura,S_macrurus,S_marginatus,S_marmoratus,S_nigrotaenia,S_notomelas,T_argenteus,T_neivai,X_macropus
P0937,-20.80774,-54.88499,Cór_canastrão,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,4,0,11,0,0,0,0,0,4,0,0,8,0,0,1,0,0,0,0,0,3,0,14,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0938,-20.88995,-54.94744,Cór_coroado,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
P0939,-20.74954,-55.15714,Cor_Maribondo,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
P0940,-21.1377,-55.69862,Cór_Remanso,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,5,1,0,0,0,0,36,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P0941,-21.95381,-55.84067,Nasc_Miranda,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,8,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0942,-21.07812,-56.55743,Cor_queima_boca,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0943,-21.03092,-56.61361,Cor_seco,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,6,0,54,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0944,-21.88867,-55.78406,Cab_Cor_Fundo,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
P0945,-21.72194,-55.77833,Cor_Feio,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,20,0,31,0,0,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,48,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,9,0,0,0,0,0,0,0,0,0,0,0
P0946,-21.49017,-55.66211,Cor_Das_Moças,Fish_Cerrado_MS4,150,NA,0,0,0,0,0,0,15,0,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,39,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
