ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_lacustris,Apareiodon_piracicabae,Aspidoras_fuscoguttatus,Astyanax_altiparanae,Astyanax_fasciatus,Astyanax_paranensis,Astyanax_bockmanni,Bryconamericus_stramineus,Callichthys_callichthys,Cetopsorhamdia_iheringi,Characidium_gomesi,Characidium_lagossantense,Characidium_zebra,Cichlasoma_paranaense ,Corydoras_aeneus,Crenicichla_britskii,Cyphocharax_modestus,Cyphocharax_vanderi,Eigenmannia_virescens,Erythrinus_erythrinus,Geophagus_brasiliensis,Gymnotus_sylvius,Gymnotus_inaequilabiatus,Hemigrammus_marginatus,Hisonotus_francirochai,Hoplosternum_littorale,Hoplias_malabaricus,Hypostomus_ancistroides,Hyphessobrycon_anisitsi ,Hyphessobrycon_eques,Hypostomus_nigromaculatus,Imparfinis_schubarti,Knodus_moenkhausii,Laetacara_aff_araguaiae,Leporinus_friderici,Leporinus_lacustris ,Leporinus_paranensis,Lepthoplosternum_pectorale,Leporinus_striatus,Moenkhausia_sanctaefilomenae,Oligosarcus_pintoi,Oreochromis_niloticus,Pamphorichthys_hollandi,Parodon_nasus,Phalloceros_harpagos,Phenacorhamdia_tenebrosa,Piabina_argentea,Pimelodella_avanhandavae ,Planaltina_britskii ,Poecilia_reticulata ,Prochilodus_lineatus ,Pseudopimelodus_pulcher,Pyrrhulina_australis ,Rhamdia_quelen,Rivulus_pictus,Satanoperca_pappaterra,Serrapinnus_heterodon,Serrapinnus_notomelas,Serrasalmus_maculatus,Serrasalmus_marginatus,Steindachnerina_insculpta,Synbranchus_marmoratus,Tilapia_rendalli 
P1220,-20.151639,-50.912917,035IBISJD,Fish_MAtlantica_SP,170,69.5,0,0,44,50,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,0,0,13,0,0,0,0,1,0,0,0,0,0,24,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0
P1221,-20.288806,-49.925417,036TUG,Fish_MAtlantica_SP,170,89.04,0,0,4,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0
P1222,-20.204444,-49.96025,037TUG,Fish_MAtlantica_SP,170,100,0,0,25,1,0,0,0,0,0,0,0,0,0,4,0,11,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,52,0,0,28,0,0,0,0,0,0,0,0,0,0
P1223,-20.371972,-50.050361,038TUG,Fish_MAtlantica_SP,170,84.65,0,0,9,5,12,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,5,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0
P1224,-20.261333,-50.147611,039TUG,Fish_MAtlantica_SP,170,84.89,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1225,-20.135806,-50.186306,040TUG,Fish_MAtlantica_SP,170,99.12,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,433,0,0,0,1,0,0,0,0,0,0,0,0,0
P1226,-20.087833,-50.206944,041TUG,Fish_MAtlantica_SP,170,82.14,0,0,5,67,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,0,0,5,0,0,0,3,0,0,0,14,0,0,0,0,0
P1227,-20.013806,-50.04,042TUG,Fish_MAtlantica_SP,170,53.26,0,1,8,19,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1228,-19.97275,-50.447278,043TUG,Fish_MAtlantica_SP,170,88.95,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0
P1229,-20.243611,-50.484861,044TUG,Fish_MAtlantica_SP,170,90.32,0,0,2,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,1,64,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
