ID_Point,Latitude,Longitude,Name,Description,Icon,%Deforestation,Acestrorhynchus_pantaneiro,Ancistrus_sp1_lisa,Ancistrus_sp2_vermiculada,Apareiodon_affinis,Aphyocharax_dentatus,Aphyocharax_rathbuni,Aphyocharax_nattereri,Apistograma_trifasciata,Astyanax_lacustris,Astyanax_lineatus,Astyanax_marionae,Astyanax_sp1,Astyanax_sp2,Brachychalcinus_retrospina,Brachyhypopomus_spC,Bryconamericus_stramineus,Bryconamericus_exodon,Brycon_hilarii,Bryconops_melanurus,Bunocephalus_doriae,Callichthys_callichthys,Chaetobranchopsis_australis,Characidium_gomesi,Characidium_laterale,Characidium_sp,Characidium_sp1,Characidium_zebra,Cichlasoma_dimerus,Corydoras_aeneus,Corydoras_aurofrenatus,Creagrutus_meridionalis,Crenicichla_lepidota,Cyphocharax_gillii,Eigenmannia_desantonai,Farlowella_paraguayensis,Gymnotus_sp,Gymnotus_paraguensis,Hemigrammus_lunatus,Hypostomus_basilisko,Hoplias_sp2,Hyphessobrycon_eques,Hyphessobrycon_luetknii,Hypostomus_cochliodon,Hypostomus_khimaera,Hypostomus_latirostris,Hypostomus_boulengeri,Imparfinis_stictonatus,Imparfinis_sp,Imparfinis_sp1,Ituglanis_eichorniarium,Jupiaba_acanthogaster,Leporellus_vittatus,Leporinus_friderici,Leporinus_lacustris,Leporinus_striatus,Loricaria_luciae,Moenkhausia_bonita,Moenkhausia_dichroura,Moenkhausia_forestii,Moenkhausia_oligolepsis,Odontostilbe_pequira,Oligosarcus_pintoi,Othothiropsis_spn,Odontostilbe_paraguaiensis,Otocincluscfbororo,Paravandellia_oxyptera,Piabarchus_analis,Piabarchus_torrenticola,Pimelodella_gracilis,Pimelodus_maculatus,Pseudopimelodus_mangurus,Prochilodus_lineatus,Psellogrammus_kennedyi,Pyrrhulina_australis,Poptella_paraguayensis,Phenacogaster_tegatus,Rhamdia_quelen,Rineloricaria_aurata,Rineloricaria_lanceolata,Rineloricaria_parva,Serrapinus_calliurus,Hyphessobrycon_elachys,Satanoperca_pappaterra,Steindachnerina_brevipinna,Steindachnerina_sp,Synbranchus_marmoratus,Xenurobrycon_macropus
P0641,-21.86323,-57.24613,APA33,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,7,1,0,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,4,2,0,0,0,0,0
P0642,-21.08954,-56.73795,APA34,Fish_Cerrado_MS2,150,NA,0,3,0,0,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
P0643,-21.68202,-56.76036,APA35,Fish_Cerrado_MS2,150,NA,0,0,14,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
P0644,-21.71193,-56.83736,APA36,Fish_Cerrado_MS2,150,NA,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
P0645,-21.77866,-56.98776,APA37,Fish_Cerrado_MS2,150,NA,0,19,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0646,-22.03133,-55.87583,APA38,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,0,0,0,467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0647,-22.19158,-56.08481,APA39,Fish_Cerrado_MS2,150,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,36,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0648,-22.09506,-55.88919,APA40,Fish_Cerrado_MS2,150,NA,0,27,0,0,0,0,0,0,0,0,0,494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P0649,-22.054986,-57.250429,APA41,Fish_Cerrado_MS2,150,NA,2,0,0,0,0,6,4,0,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,20,0,0,2,1,0,1,0,1,20,18,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,66,0,19,55,0,0,0,9,0,3,0,0,0,0,0,1,9,0,0,0,1,0,0,176,0,0,1,0,0,1
P0650,-21.770056,-57.146608,APA42,Fish_Cerrado_MS2,150,NA,0,0,0,0,35,0,0,0,8,0,0,0,0,0,0,0,53,0,0,0,0,0,0,4,0,0,9,0,0,0,0,0,0,0,6,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,5,0,1,0,70,0,0,0,29,0,1,24,2,0,0,0,0,0,0,0,0,1,4,0,37,0,0,0,0,0,354
